Geo Point;Geo Shape;BikeRace;City;BikePos;NumUnits;CrashHour;Locality;BikeSex;DrvrVehTyp;NumBikesNo;BikeAlcDrg;NumBikesBI;RteInvdCd;DrvrRace;Workzone;NumBikesCi;BikeAgeGrp;CrashType;RdDefects;CrashAlcoh;BikeAlcoho;RdConditio;DstncMiFrm;RuralUrban;HitRun;CrashDate;NumBikesUI;CrashTime;DrvrSex;DrvrAlcoho;Developmen;CrashSevr;AmbulanceR;DrvrInjury;OBJECTID;CrashMonth;NumBikesKi;RdCharacte;Region;BikeDir;TraffCntrl;CrashDay;CrashLoc;BikeAge;NumBikesTo;RdConfig;NumLanes;NumBikesAI;DrvrAlcDrg;OnRoad;RdSurface;Towrd_Rd;RdFeature;CrashGrp;RdClass;BikeInjury;County;DrvrAge;Weather;FrmRd;DrvrEstSpd;SpeedLimit;CrashYear;LightCond;DrvrAgeGrp
34.2347667684, -77.8694022982;"{""type"": ""Point"", ""coordinates"": [-77.86940229823126, 34.23476676838146]}";White;Wilmington;Sidewalk / Crosswalk / Driveway Crossing;2;12;Urban (>70% Developed);Female;Passenger Car;0;#NULL!;0;0;White;No;0;20-24;Bicyclist Ride Through - Signalized Intersection;None;No;No;Dry;0;Urban;No;09FEB2012;0;12:21;Female;No;Residential;C: Possible Injury;No;O: No Injury;1807;February;0;Straight - Level;Coastal;Facing Traffic;Stop And Go Signal;Thursday;Intersection;21;0;Two-Way, Not Divided;3 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;Four-Way Intersection;Bicyclist Failed to Yield - Signalized Intersection;Local Street;C: Possible Injury;New Hanover;20;Clear;#NULL!;6-10 mph;30 - 35  MPH;2012;Daylight;20-24
35.5988768966, -82.5615037722;"{""type"": ""Point"", ""coordinates"": [-82.56150377224805, 35.59887689655804]}";White;Asheville;Travel Lane;2;22;Urban (>70% Developed);Female;Police;0;#NULL!;0;0;White;No;0;30-39;Motorist Drive Out - Sign-Controlled Intersection;None;Yes;Yes;Wet;0;Urban;No;22FEB2012;0;22:18;Male;No;Residential;C: Possible Injury;No;O: No Injury;1816;February;0;Straight - Level;Mountains;With Traffic;No Control Present;Wednesday;Intersection;34;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;No Special Feature;Motorist Failed to Yield - Sign-Controlled Intersection;Local Street;C: Possible Injury;Buncombe;24;Cloudy;#NULL!;6-10 mph;30 - 35  MPH;2012;Dark - Lighted Roadway;20-24
35.3533669002, -81.0904033227;"{""type"": ""Point"", ""coordinates"": [-81.0904033226887, 35.35336690019411]}";Unknown/Missing;Stanley;Sidewalk / Crosswalk / Driveway Crossing;2;12;Mixed (30% To 70% Developed);Unknown;Tractor/Semi-Trailer;0;#NULL!;0;0;Unknown/Missing;No;0;60-69;Unknown Approach Paths;None;No;No;Dry;0;Rural;Yes;07JAN2012;0;12:15;Unknown;No;Commercial;Unknown Injury;No;Unknown Injury;1835;January;0;Straight - Grade;Piedmont;Unknown;Stop And Go Signal;Saturday;Intersection;69;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;Four-Way Intersection;Other / Unknown - Insufficient Details;NC Route;Unknown Injury;Gaston;Unknown;Clear;#NULL!;11-15 mph;30 - 35  MPH;2012;Daylight;Unknown
34.2320167658, -77.9271023164;"{""type"": ""Point"", ""coordinates"": [-77.92710231639931, 34.23201676584717]}";White;Wilmington;Sidewalk / Crosswalk / Driveway Crossing;2;13;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Black;No;0;20-24;Sign-Controlled Intersection - Other / Unknown;None;No;No;Dry;0;Urban;No;15FEB2012;0;13:00;Female;No;Residential;C: Possible Injury;Yes;O: No Injury;1825;February;0;Straight - Level;Coastal;Facing Traffic;Stop Sign;Wednesday;Intersection;24;0;One-Way, Not Divided;4 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;No Special Feature;Crossing Paths - Other Circumstances;Local Street;C: Possible Injury;New Hanover;48;Clear;#NULL!;0-5 mph;20 - 25  MPH;2012;Daylight;40-49
36.0957971045, -79.817202982;"{""type"": ""Point"", ""coordinates"": [-79.8172029819684, 36.09579710454654]}";White;Greensboro;Sidewalk / Crosswalk / Driveway Crossing;2;22;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Black;No;0;40-49;Motorist Drive Out - Commercial Driveway / Alley;None;No;No;Dry;0;Urban;No;02FEB2012;0;22:16;Female;No;Commercial;B: Evident Injury;Yes;O: No Injury;1823;February;0;Straight - Level;Piedmont;Facing Traffic;No Control Present;Thursday;Non-Intersection;40;0;Unknown;Unknown;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;Driveway, Public;Motorist Failed to Yield - Midblock;Public Vehicular Area;B: Evident Injury;Guilford;21;Clear;#NULL!;0-5 mph;Unknown;2012;Daylight;20-24
35.5175970346, -78.3200024985;"{""type"": ""Point"", ""coordinates"": [-78.32000249850098, 35.51759703463419]}";White;Smithfield;Sidewalk / Crosswalk / Driveway Crossing;2;17;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;White;No;0;20-24;Bicyclist Lost Control - Mechanical Problems;None;No;No;Dry;0;Urban;No;13FEB2012;0;17:56;Male;No;Commercial;C: Possible Injury;Yes;O: No Injury;1809;February;0;Straight - Level;Coastal;Facing Traffic;No Control Present;Monday;Non-Intersection;20;0;Two-Way, Not Divided;5 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;Driveway, Public;Loss of Control / Turning Error;US Route;C: Possible Injury;Johnston;23;Clear;#NULL!;Unknown;Unknown;2012;Daylight;20-24
36.1988570563, -81.6695035428;"{""type"": ""Point"", ""coordinates"": [-81.66950354281454, 36.19885705627045]}";White;Boone;Travel Lane;2;16;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;White;No;0;16-19;Bicyclist Overtaking - Other / Unknown;None;No;No;Dry;0;Urban;No;01MAR2012;0;16:20;Female;No;Commercial;C: Possible Injury;No;O: No Injury;1840;March;0;Straight - Level;Mountains;With Traffic;Double Yellow Line, No Passing Zone;Thursday;Non-Intersection;18;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;No Special Feature;Bicyclist Overtaking Motorist;Local Street;C: Possible Injury;Watauga;51;Clear;#NULL!;16-20 mph;20 - 25  MPH;2012;Daylight;50-59
35.5963469616, -80.8080032521;"{""type"": ""Point"", ""coordinates"": [-80.8080032520784, 35.59634696162555]}";Black;Mooresville;Other;2;17;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;White;No;0;40-49;Motorist Overtaking - Bicyclist Swerved;None;No;No;Dry;0;Urban;No;03FEB2012;0;17:36;Male;No;Residential;C: Possible Injury;No;O: No Injury;1818;February;0;Straight - Grade;Piedmont;With Traffic;No Control Present;Friday;Non-Intersection;49;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;No Special Feature;Motorist Overtaking Bicyclist;NC Route;C: Possible Injury;Iredell;70+;Clear;#NULL!;26-30 mph;30 - 35  MPH;2012;Daylight;70+
35.2851367875, -83.6701040798;"{""type"": ""Point"", ""coordinates"": [-83.67010407978742, 35.28513678753143]}";White;None - Rural Crash;Bike Lane / Paved Shoulder;2;14;Rural (<30% Developed);Male;Sport Utility;0;#NULL!;0;0;White;No;0;50-59;Bicyclist Left Turn - Same Direction;None;No;No;Dry;0;Rural;No;20SEP2012;0;14:37;Male;No;Farms, Woods, Pastures;B: Evident Injury;Yes;O: No Injury;2439;September;0;Straight - Grade;Mountains;With Traffic;Double Yellow Line, No Passing Zone;Thursday;Intersection-Related;56;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;No Special Feature;Bicyclist Left Turn / Merge;US Route;B: Evident Injury;Swain;70+;Clear;#NULL!;36-40 mph;50 - 55  MPH;2012;Daylight;70+
35.919667106, -78.7379026463;"{""type"": ""Point"", ""coordinates"": [-78.73790264632953, 35.91966710595676]}";Black;Raleigh;Bike Lane / Paved Shoulder;2;10;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Unknown/Missing;No;0;11-15;Bicyclist Right Turn - Opposite Direction;None;No;No;Dry;0;Urban;Yes;26SEP2012;0;10:15;Unknown;Missing;Residential;O: No Injury;No;Unknown Injury;2456;September;0;Straight - Level;Piedmont;Facing Traffic;No Control Present;Wednesday;Non-Intersection;14;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;No Special Feature;Bicyclist Right Turn / Merge;Local Street;O: No Injury;Wake;Unknown;Clear;#NULL!;6-10 mph;40 - 45  MPH;2012;Daylight;Unknown
35.7690570754, -78.6912026243;"{""type"": ""Point"", ""coordinates"": [-78.6912026242714, 35.76905707538203]}";White;Raleigh;Sidewalk / Crosswalk / Driveway Crossing;2;9;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;White;No;0;25-29;Motorist Drive Out - Signalized Intersection;None;No;No;Dry;0;Urban;No;20SEP2012;0;9:00;Male;No;Residential;C: Possible Injury;No;O: No Injury;2453;September;0;Straight - Level;Piedmont;With Traffic;Stop And Go Signal;Thursday;Intersection;26;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Concrete;#NULL!;No Special Feature;Motorist Failed to Yield - Signalized Intersection;Local Street;C: Possible Injury;Wake;26;Clear;#NULL!;31-35 mph;30 - 35  MPH;2012;Daylight;25-29
35.3249869844, -78.567702564;"{""type"": ""Point"", ""coordinates"": [-78.56770256402078, 35.3249869844044]}";Black;None - Rural Crash;Travel Lane;2;20;Mixed (30% To 70% Developed);Male;Pickup;0;#NULL!;0;0;White;No;0;60-69;Bicyclist Left Turn - Same Direction;None;No;No;Dry;0;Rural;Yes;10SEP2012;0;20:24;Male;No;Farms, Woods, Pastures;K: Killed;Yes;O: No Injury;2427;September;0;Straight - Level;Coastal;With Traffic;No Control Present;Monday;Non-Intersection;61;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;No Special Feature;Bicyclist Left Turn / Merge;State Secondary Route;K: Killed;Harnett;22;Clear;#NULL!;46-50 mph;50 - 55  MPH;2012;Dark - Roadway Not Lighted;20-24
35.4944770281, -78.3563025086;"{""type"": ""Point"", ""coordinates"": [-78.35630250857619, 35.494477028149284]}";Black;Smithfield;Bike Lane / Paved Shoulder;2;11;Urban (>70% Developed);Male;Sport Utility;0;#NULL!;0;0;White;No;0;50-59;Motorist Left Turn - Same Direction;None;No;No;Dry;0;Urban;No;12SEP2012;0;11:58;Male;No;Commercial;C: Possible Injury;Yes;O: No Injury;2429;September;0;Straight - Level;Coastal;With Traffic;No Control Present;Wednesday;Non-Intersection;54;0;Two-Way, Not Divided;3 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;No Special Feature;Motorist Left Turn / Merge;US Route;C: Possible Injury;Johnston;65;Clear;#NULL!;6-10 mph;40 - 45  MPH;2012;Daylight;60-69
35.9935571162, -78.8876026957;"{""type"": ""Point"", ""coordinates"": [-78.88760269572917, 35.993557116227805]}";Black;Durham;Non-Roadway;2;18;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Black;No;0;6-10;Bicyclist Ride Out - Other Midblock;None;No;No;Dry;0;Urban;No;25SEP2012;0;18:53;Male;No;Residential;C: Possible Injury;Yes;O: No Injury;2452;September;0;Straight - Level;Piedmont;Not Applicable;No Control Present;Tuesday;Non-Intersection;9;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;No Special Feature;Bicyclist Failed to Yield - Midblock;Local Street;C: Possible Injury;Durham;23;Clear;#NULL!;21-25 mph;30 - 35  MPH;2012;Daylight;20-24
35.7888870802, -78.6732026193;"{""type"": ""Point"", ""coordinates"": [-78.6732026193258, 35.788887080156925]}";White;Raleigh;Travel Lane;2;8;Urban (>70% Developed);Female;Passenger Car;0;#NULL!;0;0;White;No;0;30-39;Motorist Left Turn - Opposite Direction;None;No;No;Dry;0;Urban;No;24SEP2012;0;8:22;Male;No;Institutional;O: No Injury;No;O: No Injury;2451;September;0;Straight - Level;Piedmont;With Traffic;Stop And Go Signal;Monday;Intersection;36;0;Two-Way, Divided, Unprotected Median;8 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;No Special Feature;Motorist Left Turn / Merge;Local Street;O: No Injury;Wake;21;Clear;#NULL!;16-20 mph;30 - 35  MPH;2012;Daylight;20-24
34.4978467856, -79.1049026833;"{""type"": ""Point"", ""coordinates"": [-79.10490268328913, 34.49784678557552]}";Black;Fairmont;Travel Lane;2;17;Mixed (30% To 70% Developed);Male;Van;0;#NULL!;0;0;Black;No;0;11-15;Bicyclist Left Turn - Same Direction;Road Surface Condition;No;No;Wet;0;Rural;No;06AUG2012;0;17:34;Male;No;Residential;B: Evident Injury;Yes;O: No Injury;2422;August;0;Straight - Level;Coastal;With Traffic;No Control Present;Monday;Non-Intersection;15;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Gravel;#NULL!;No Special Feature;Bicyclist Left Turn / Merge;Local Street;B: Evident Injury;Robeson;52;Cloudy;#NULL!;31-35 mph;30 - 35  MPH;2012;Daylight;50-59
35.7883070809, -78.6418026107;"{""type"": ""Point"", ""coordinates"": [-78.64180261074965, 35.788307080914606]}";White;Raleigh;Travel Lane;2;6;Urban (>70% Developed);Female;Taxicab;0;#NULL!;0;0;Other;No;0;25-29;Motorist Left Turn - Opposite Direction;None;No;No;Dry;0;Urban;No;21SEP2012;0;6:19;Male;No;Commercial;B: Evident Injury;Yes;O: No Injury;2447;September;0;Straight - Grade;Piedmont;Facing Traffic;No Control Present;Friday;Non-Intersection;29;0;Two-Way, Not Divided;5 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;No Special Feature;Motorist Left Turn / Merge;Local Street;B: Evident Injury;Wake;44;Clear;#NULL!;6-10 mph;30 - 35  MPH;2012;Dusk;40-49
35.9915271145, -78.9406027117;"{""type"": ""Point"", ""coordinates"": [-78.94060271167285, 35.99152711451393]}";White;Durham;Travel Lane;2;9;Urban (>70% Developed);Female;Passenger Car;0;#NULL!;0;0;Black;No;0;25-29;Motorist Left Turn - Opposite Direction;None;No;No;Dry;0;Urban;No;23SEP2012;0;9:43;Female;No;Commercial;C: Possible Injury;Yes;O: No Injury;2441;September;0;Curve - Grade;Piedmont;With Traffic;Stop And Go Signal;Sunday;Intersection;28;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;T-Intersection;Motorist Left Turn / Merge;Local Street;C: Possible Injury;Durham;49;Clear;#NULL!;6-10 mph;30 - 35  MPH;2012;Daylight;40-49
35.3095068589, -81.9457035735;"{""type"": ""Point"", ""coordinates"": [-81.94570357351208, 35.30950685891037]}";White;None - Rural Crash;Bike Lane / Paved Shoulder;2;11;Rural (<30% Developed);Male;Tractor/Semi-Trailer;0;#NULL!;0;0;White;No;0;20-24;Motorist Overtaking - Other / Unknown;None;No;No;Wet;0;Rural;No;01OCT2012;0;11:47;Male;No;Farms, Woods, Pastures;B: Evident Injury;Yes;O: No Injury;2483;October;0;Straight - Level;Mountains;With Traffic;No Control Present;Monday;Non-Intersection;24;0;Two-Way, Divided, Positive Median Barrier;4 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;No Special Feature;Motorist Overtaking Bicyclist;US Route;B: Evident Injury;Rutherford;37;Rain;#NULL!;56-60 mph;60 - 75 MPH;2012;Daylight;30-39
35.2551268748, -81.2081033521;"{""type"": ""Point"", ""coordinates"": [-81.20810335207342, 35.25512687478884]}";White;Gastonia;Travel Lane;2;13;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Black;No;0;16-19;Bicyclist Ride Through - Sign-Controlled Intersection;None;No;No;Dry;0;Urban;No;15SEP2012;0;13:02;Male;No;Residential;C: Possible Injury;Yes;O: No Injury;2480;September;0;Straight - Level;Piedmont;With Traffic;Double Yellow Line, No Passing Zone;Saturday;Intersection;18;0;Two-Way, Not Divided;3 lanes;0;#NULL!;#NULL!;Smooth Asphalt;#NULL!;T-Intersection;Bicyclist Failed to Yield - Sign-Controlled Intersection;Local Street;C: Possible Injury;Gaston;29;Clear;#NULL!;31-35 mph;30 - 35  MPH;2012;Daylight;25-29
35.7115770906, -77.899102381;"{""type"": ""Point"", ""coordinates"": [-77.89910238095048, 35.711577090616586]}";Black;Wilson;Travel Lane;2;23;Urban (>70% Developed);Male;Unknown;0;#NULL!;0;0;Unknown/Missing;No;0;30-39;Motorist Overtaking - Other / Unknown;None;No;No;Dry;0;Urban;Yes;30AUG2012;0;23:25;Unknown;No;Residential;B: Evident Injury;Yes;Unknown Injury;2479;August;0;Curve - Grade;Coastal;With Traffic;No Control Present;Thursday;Non-Intersection;34;0;Two-Way, Divided, Unprotected Median;2 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;No Special Feature;Motorist Overtaking Bicyclist;Local Street;B: Evident Injury;Wilson;Unknown;Clear;#NULL!;26-30 mph;40 - 45  MPH;2012;Dark - Lighted Roadway;Unknown
35.7198370921, -77.8980023807;"{""type"": ""Point"", ""coordinates"": [-77.89800238071135, 35.71983709209228]}";Black;Wilson;Travel Lane;2;16;Urban (>70% Developed);Male;Passenger Car;0;#NULL!;0;0;Black;No;0;11-15;Bicyclist Ride Through - Sign-Controlled Intersection;None;No;No;Dry;0;Urban;No;11SEP2012;0;16:11;Female;No;Residential;C: Possible Injury;Yes;O: No Injury;2467;September;0;Straight - Level;Coastal;Facing Traffic;Stop Sign;Tuesday;Intersection;14;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;No Special Feature;Bicyclist Failed to Yield - Sign-Controlled Intersection;Local Street;C: Possible Injury;Wilson;47;Clear;#NULL!;21-25 mph;30 - 35  MPH;2012;Daylight;40-49
35.7579770658, -78.886402683;"{""type"": ""Point"", ""coordinates"": [-78.88640268304842, 35.75797706582287]}";White;Apex;Travel Lane;2;13;Rural (<30% Developed);Male;Passenger Car;0;#NULL!;0;0;Unknown/Missing;No;0;40-49;Motorist Overtaking - Other / Unknown;None;No;No;Wet;0;Urban;Yes;07OCT2012;0;13:15;Unknown;Missing;Farms, Woods, Pastures;C: Possible Injury;No;Unknown Injury;2496;October;0;Straight - Level;Piedmont;With Traffic;No Control Present;Sunday;Non-Intersection;46;0;Two-Way, Not Divided;2 lanes;0;#NULL!;#NULL!;Coarse Asphalt;#NULL!;No Special Feature;Motorist Overtaking Bicyclist;Local Street;C: Possible Injury;Wake;Unknown;Cloudy;#NULL!;31-35 mph;40 - 45  MPH;2012;Daylight;Unknown
